变更单 ID,变更类型,变更单地址,项目 ID,项目名称,应用ID,应用名称,软件版本,配置变量版本,配置模版版本,流水线 ID,审批人,执行人,变更单开始时间,变更单结束时间,变更实例数目,任务正式变更总时长（全量时长）,是否灰度,第一个实例到第二个实例执行间隔,在 10min 内开始执行实例数,在 10min 内开始执行实例比例,是否灰度单台,最后 10min 内完成执行实例数,最后 10min 内完成执行实例比例,批量策略是否合格,最大并发实例数,最大并发实例比例,是否有暂停/观察,暂停/观察点数目,暂停/观察时间大于 30min 点数目,第一个暂停/观察点时长,第一个暂停/观察点时长是否大于 30min,是否强制回滚验证,变更单是否存在回滚,回滚实例数,回滚时长,不合规信息
8873336,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8873336,818,通讯平台_微信C2C传图,18793,hevc_trsf_dc,5.0.0,"{""version_name"":""v_20230315211853"",""version_uuid"":""d9bc7799-4b44-4953-92cc-a1a08a584d00""}",v_20230815102735,0,null,winonali,2024-08-22 15:06:10,2024-08-22 15:06:47,1,4s,false,0s,1,100,true,1,100,false,1,100,false,0,0,0s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8872544,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8872544,818,通讯平台_微信C2C传图,18793,hevc_trsf_dc,5.0.0,"{""version_name"":""v_20230315211853"",""version_uuid"":""d9bc7799-4b44-4953-92cc-a1a08a584d00""}",v_20230815102735,0,null,winonali,2024-08-22 14:39:52,2024-08-22 15:03:58,1,38s,false,0s,1,100,true,1,100,false,1,100,false,0,0,0s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8869144,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8869144,818,通讯平台_微信C2C传图,118665,front_sns_oc_oversea_25G,20240819145033,"{""version_name"":""v_20240822111517"",""version_uuid"":""b1ebf4e1-6cee-4870-b28a-8e736ab6580a""}",v_20240813134149,0,null,chanwlzeng,2024-08-22 14:12:09,2024-08-26 10:44:51,23,91h32m45s,true,31m49s,1,4.3478260869565215,true,7,30.434782608695656,true,2,8.695652173913043,true,2,1,30m4s,true,true,false,0,0s,"变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8862441,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8862441,818,通讯平台_微信C2C传图,17457,c2c_front_soc,24.7.1.2,"{""version_name"":""v_20240822105353"",""version_uuid"":""9c90d3fc-685c-43f4-8135-a92fb1afb75d""}",24.6.1.8,0,null,v_lixzheng,2024-08-22 11:00:29,2024-08-22 11:28:01,114,22m46s,true,2m38s,60,52.63157894736842,false,60,52.63157894736842,false,20,17.543859649122805,true,1,0,5s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8862431,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8862431,818,通讯平台_微信C2C传图,17457,c2c_front_soc,24.7.1.2,"{""version_name"":""v_20240822105353"",""version_uuid"":""9c90d3fc-685c-43f4-8135-a92fb1afb75d""}",24.6.1.8,0,null,v_lixzheng,2024-08-22 11:00:35,2024-08-22 11:35:51,101,55m39s,true,2m38s,40,39.603960396039604,false,2,1.9801980198019802,true,16,15.841584158415841,true,1,0,5s,false,true,false,0,0s,"变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8851854,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8851854,818,通讯平台_微信C2C传图,5681,zone_slave_24,240820,,v_20240814173954,0,null,winonali,2024-08-21 16:42:08,2024-08-21 16:58:58,2,4m56s,false,2m31s,2,100,false,2,100,false,1,50,true,1,0,7s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8848283,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8848283,818,通讯平台_微信C2C传图,5681,zone_slave_24,240820,,v_20240814173954,0,null,winonali,2024-08-21 15:42:37,2024-08-21 15:57:40,1,3m21s,false,0s,1,100,true,1,100,false,1,100,false,0,0,0s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8846387,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8846387,818,通讯平台_微信C2C传图,17454,c2c_front_inner,24.7.1.1,"{""version_name"":""v_20240821095235"",""version_uuid"":""bd9564ce-cb2a-4454-859b-59e1299b182b""}",v_20240821100457,0,null,winonali,2024-08-21 15:10:21,2024-08-21 15:42:37,5,4m58s,false,1m59s,5,100,false,5,100,false,4,80,true,1,0,6s,false,true,false,0,0s,"变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8845749,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8845749,818,通讯平台_微信C2C传图,17457,c2c_front_soc,24.7.1.2,"{""version_name"":""v_20240821144836"",""version_uuid"":""97fd1719-43dd-4814-9aa1-0be2fc80ff04""}",24.6.1.8,0,null,v_lixzheng,2024-08-21 14:52:21,2024-08-21 15:23:51,124,22m46s,true,2m39s,61,49.193548387096776,false,63,50.806451612903224,false,20,16.129032258064516,true,1,0,5s,false,true,false,0,0s,"变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8845735,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8845735,818,通讯平台_微信C2C传图,17457,c2c_front_soc,24.7.1.2,"{""version_name"":""v_20240821144836"",""version_uuid"":""97fd1719-43dd-4814-9aa1-0be2fc80ff04""}",24.6.1.8,0,null,v_lixzheng,2024-08-21 14:52:26,2024-08-21 15:20:03,107,21m10s,true,2m55s,60,56.074766355140184,false,67,62.616822429906534,false,20,18.69158878504673,true,1,0,5s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
